Pass #: 142; Equity: 50,828.92; Profit / Loss: 902.20; Balance: 50,828.92; Total Trades: 29; Profit Factor: 2.65; Parameters: multiplier=4, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
Pass #: 202; Equity: 50,828.92; Profit / Loss: 902.20; Balance: 50,828.92; Total Trades: 29; Profit Factor: 2.65; Parameters: multiplier=4, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
Pass #: 131; Equity: 50,714.31; Profit / Loss: 787.60; Balance: 50,714.31; Total Trades: 29; Profit Factor: 2.62; Parameters: multiplier=5, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=60, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
Pass #: 134; Equity: 50,714.31; Profit / Loss: 787.60; Balance: 50,714.31; Total Trades: 29; Profit Factor: 2.62; Parameters: multiplier=5, zoneShrink=1.0, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=60, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
Pass #: 194; Equity: 50,714.31; Profit / Loss: 787.60; Balance: 50,714.31; Total Trades: 29; Profit Factor: 2.62; Parameters: multiplier=5, zoneShrink=1.0, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=60, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
Pass #: 35; Equity: 51,024.07; Profit / Loss: 1,101.40; Balance: 51,024.07; Total Trades: 29; Profit Factor: 2.59; Parameters: multiplier=5, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 38; Equity: 51,024.07; Profit / Loss: 1,101.40; Balance: 51,024.07; Total Trades: 29; Profit Factor: 2.59; Parameters: multiplier=5, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 95; Equity: 51,024.07; Profit / Loss: 1,101.40; Balance: 51,024.07; Total Trades: 29; Profit Factor: 2.59; Parameters: multiplier=5, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 98; Equity: 51,024.07; Profit / Loss: 1,101.40; Balance: 51,024.07; Total Trades: 29; Profit Factor: 2.59; Parameters: multiplier=5, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 101; Equity: 51,024.07; Profit / Loss: 1,101.40; Balance: 51,024.07; Total Trades: 29; Profit Factor: 2.59; Parameters: multiplier=5, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
